File,Stato,Totale feature,Feature invalide
C166_CASTELLETTO TICINO_ple.gml,Contiene geometrie invalide,11658,1
C167_CASTELLETTO UZZONE_ple.gml,Valido,5779,0
C173_CASTELLINALDO_ple.gml,Valido,4842,0
C176_CASTELLINO TANARO_ple.gml,Valido,5396,0
C205_CASTELMAGNO_ple.gml,Valido,8521,0
C214_CASTELNUOVO DI CEVA_ple.gml,Valido,2789,0
C226_CASTELNUOVO BELBO_ple.gml,Valido,4298,0
C229_CASTELNUOVO BORMIDA_ple.gml,Valido,5265,0
C230_CASTELNUOVO CALCEA_ple.gml,Valido,3546,0
C232_CASTELNUOVO DON BOSCO_ple.gml,Valido,12256,0
C241_CASTELNUOVO NIGRA_ple.gml,Valido,14630,0
C243_CASTELNUOVO SCRIVIA_ple.gml,Valido,11939,0
C253_CASTEL ROCCHERO_ple.gml,Valido,2104,0
C274_CASTELSPINA_ple.gml,Valido,2231,0
C307_CASTIGLIONE TORINESE_ple.gml,Valido,8407,0
C314_CASTIGLIONE FALLETTO_ple.gml,Valido,2265,0
C317_CASTIGLIONE TINELLA_ple.gml,Valido,5696,0
C323_CASTINO_ple.gml,Valido,5289,0
C363_CAVAGLIA_ple.gml,Valido,8331,0
C364_CAVAGLIETTO_ple.gml,Valido,3720,0
C365_CAVAGLIO D`AGOGNA_ple.gml,Valido,9786,0
C369_CAVAGNOLO_ple.gml,Valido,6943,0
C375_CAVALLERLEONE_ple.gml,Valido,2564,0
C376_CAVALLERMAGGIORE_ple.gml,Valido,10101,0
C378_CAVALLIRIO_ple.gml,Valido,6666,0
C387_CAVATORE_ple.gml,Valido,2800,0
C404_CAVOUR_ple.gml,Valido,15456,0
C432_CELLA MONTE_ple.gml,Valido,1904,0
C438_CELLARENGO_ple.gml,Valido,3366,0
C440_CELLE ENOMONDO_ple.gml,Valido,3318,0
C441_CELLE DI MACRA_ple.gml,Valido,8005,0
C466_CENTALLO_ple.gml,Valido,9101,0
C478_CEPPO MORELLI_ple.gml,Valido,10022,0
C483_CERANO_ple.gml,Valido,10286,0
C487_CERCENASCO_ple.gml,Valido,4946,0
C497_CERES_ple.gml,Valido,16115,0
C503_CERESETO_ple.gml,Valido,3535,0
C504_CERESOLE ALBA_ple.gml,Valido,8950,0
C505_CERESOLE REALE_ple.gml,Valido,3257,0
C507_CERRETO GRUE_ple.gml,Valido,1641,0
C528_CERRETO D`ASTI_ple.gml,Valido,3017,0
C530_CERRETTO LANGHE_ple.gml,Valido,4400,0
C531_CERRINA_ple.gml,Valido,6967,0
C532_CERRIONE_ple.gml,Valido,9046,0
C533_CERRO TANARO_ple.gml,Valido,2371,0
C547_CERVASCA_ple.gml,Valido,9971,0
C548_CERVATTO_ple.gml,Valido,2299,0
C550_CERVERE_ple.gml,Contiene geometrie invalide,5083,1
C564_CESANA TORINESE_ple.gml,Valido,41601,0
C567_CESARA_ple.gml,Valido,4153,0
C583_CESSOLE_ple.gml,Valido,4049,0
C589_CEVA_ple.gml,Valido,14109,0
C599_CHERASCO_ple.gml,Valido,21939,0
C604_CHIALAMBERTO_ple.gml,Valido,9318,0
C610_CHIANOCCO_ple.gml,Valido,15009,0
C624_CHIAVERANO_ple.gml,Valido,13024,0
C627_CHIERI_ple.gml,Valido,20806,0
C629_CHIESANUOVA_ple.gml,Valido,4586,0
C639_CHIOMONTE_ple.gml,Valido,16123,0
C653_CHIUSA DI PESIO_ple.gml,Valido,20061,0
C655_CHIUSA DI SAN MICHELE_ple.gml,Valido,3588,0
C658_CHIUSANO D`ASTI_ple.gml,Valido,1749,0
C665_CHIVASSO_ple.gml,Valido,23647,0
