File,Feature ID,Messaggio di errore
G227_PADULI_ple.gml,19368,Auto intersezione con anello
G227_PADULI_ple.gml,19369,Auto intersezione
G311_PANNARANO_ple.gml,7055,Troppi pochi punti nella geometria
G370_PATERNOPOLI_ple.gml,6863,Auto intersezione
G370_PATERNOPOLI_ple.gml,9528,Auto intersezione
G626_PIETRAROIA_ple.gml,2115,Auto intersezione
G902_PORTICI_ple.gml,5667,Auto intersezione con anello
G939_POSTIGLIONE_ple.gml,13571,Auto intersezione
H045_PRESENZANO_ple.gml,3291,Auto intersezione
H045_PRESENZANO_ple.gml,3339,Auto intersezione
H114_QUARTO_ple.gml,11964,Auto intersezione con anello
H128_QUINDICI_ple.gml,5689,Auto intersezione
H227_REINO_ple.gml,6019,Auto intersezione
H382_ROCCABASCERANA_ple.gml,12019,Auto intersezione
H398_ROCCA D`EVANDRO_ple.gml,6089,Auto intersezione
H423_ROCCAMONFINA_ple.gml,1754,Auto intersezione
H423_ROCCAMONFINA_ple.gml,10873,Auto intersezione
H438_ROCCA SAN FELICE_ple.gml,6000,Auto intersezione
H764_SAN BARTOLOMEO IN GALDO_ple.gml,1219,Auto intersezione
H860_SAN GENNARO VESUVIANO_ple.gml,8102,Troppi pochi punti nella geometria
I089_SAN PIETRO AL TANAGRO_ple.gml,6616,Auto intersezione con anello
I197_SANT`AGATA DE` GOTI_ple.gml,7477,Auto intersezione
I281_S ANGELO DEI LOMBARDI_ple.gml,39351,Auto intersezione
I469_SAVIANO_ple.gml,6133,Auto intersezione con anello
I630_SERINO_ple.gml,5653,Auto intersezione
I630_SERINO_ple.gml,8888,Auto intersezione
I630_SERINO_ple.gml,12710,Auto intersezione
L083_TEANO_ple.gml,7333,Auto intersezione
L254_TORRECUSO_ple.gml,2717,Auto intersezione
L254_TORRECUSO_ple.gml,7246,Auto intersezione
L274_TORRE ORSAIA_ple.gml,5566,Auto intersezione
L461_TUFO_ple.gml,5830,Troppi pochi punti nella geometria
L589_VALLATA_ple.gml,319,Auto intersezione
L589_VALLATA_ple.gml,524,Auto intersezione
L589_VALLATA_ple.gml,13084,Auto intersezione
M092_VITULAZIO_ple.gml,6749,Auto intersezione
M093_VITULANO_ple.gml,11119,Auto intersezione
M330_MONTORO_ple.gml,20266,Auto intersezione con anello
